ticket,opening_time_utc,closing_time_utc,type,lots,original_position_size,symbol,opening_price,closing_price,stop_loss,take_profit,commission_usd,swap_usd,profit_usd,equity_usd,margin_level,close_reason
1013082312,2023-11-13T12:13:32.309000,2023-11-13T13:17:22.339000,sell,0.16,0.16,GBPJPY,185.759,185.953,185.953,184.982,0,0,-20.45,,,sl
998578861,2023-11-06T12:16:02.173000,2023-11-06T14:41:07.269000,buy,0.08,0.08,CADCHF,0.65768,0.65651,0.65651,0.65949,0,0,-10.43,,,sl
995375877,2023-11-03T11:21:25.662000,2023-11-03T14:49:25.188000,buy,0.05,0.05,GBPCHF,1.1062,1.1107,1.10429,1.11188,0,0,24.99,,,user
993182425,2023-11-02T09:03:25.220000,2023-11-02T13:26:10.515000,buy,0.03,0.03,XAUUSD,1987.265,1985.678,1985.678,,0,0,-4.77,,,sl
990439789,2023-11-01T07:46:56.399000,2023-11-01T13:43:36.578000,sell,0.05,0.05,EURUSD,1.05595,1.0528,1.05619,,0,0,15.75,,,user
985444525,2023-10-30T10:03:21.551000,2023-10-31T04:23:27.017000,buy,0.02,0.02,XAUUSD,1996.808,1991.765,1991.346,,0,0,-10.09,,,user
977497232,2023-10-25T09:01:45.385000,2023-10-25T13:05:55.277000,buy,0.09,0.09,CADCHF,0.65048,0.64988,0.64988,,0,0,-6.03,,,sl
966395225,2023-10-19T07:58:14.444000,2023-10-19T12:38:40.442000,sell,0.05,0.05,GBPUSD,1.21182,1.21399,1.21399,,0,0,-10.85,,,sl
954208857,2023-10-13T10:01:48.940000,2023-10-16T03:35:09.221000,sell,0.05,0.05,AUDJPY,94.444,94.44,94.579,,0,0,0.13,,,user
949500658,2023-10-12T01:17:05.196000,2023-10-12T14:25:08.126000,buy,0.08,0.08,CADJPY,109.771,109.626,109.571,,0,0,-7.75,,,user
944505394,2023-10-10T07:00:35.446000,2023-10-10T09:20:42.084000,buy,0.04,0.04,GBPJPY,181.974,182.576,181.831,,0,0,16.17,,,user
944147323,2023-10-10T04:28:52.079000,2023-10-10T06:14:01.112000,buy,0.06,0.06,GBPJPY,181.962,181.722,181.722,182.804,0,0,-9.69,,,sl
942445248,2023-10-09T12:00:37.910000,2023-10-09T14:40:36.442000,buy,0.1,0.1,CADJPY,109.22,109.07,109.07,,0,0,-10.1,,,sl
936031309,2023-10-05T01:00:01.101000,2023-10-05T06:57:21.878000,buy,0.05,0.05,NZDUSD,0.59327,0.59325,0.59206,0.59726,0,0,-0.1,,,user
836244323,2023-08-03T02:55:54.865000,2023-08-03T04:04:16.641000,sell,0.05,0.05,AUDJPY,93.593,93.893,93.893,92.396,0,0,-10.44,,,sl
648312893,2023-02-01T10:14:04.707000,2023-02-01T11:22:03.759000,buy,0.09,0.09,AUDJPY,91.915,91.775,91.775,92.134,0,0,-9.71,,,sl
610599208,2023-01-17T05:14:54.396000,2023-01-17T05:36:26.009000,buy,0.54,0.54,AUDUSD,0.69775,0.69625,0.69625,0.70088,0,0,-81,,,sl
608755398,2023-01-16T11:31:22.920000,2023-01-16T12:35:18.362000,buy,0.27,0.27,XAUUSD,1918.096,1915.096,1915.096,1927.148,0,0,-81,,,sl
608462880,2023-01-16T07:43:21.605000,2023-01-16T08:07:29.703000,sell,0.41,0.41,USDJPY,127.964,128.214,128.214,127.379,0,0,-79.94,,,sl
594718367,2023-01-11T14:19:26.102000,2023-01-11T14:30:28.261000,buy,0.8,0.8,USDCAD,1.342,1.34064,1.34064,,0,0,-81.16,,,sl
590445902,2023-01-10T12:33:43.816000,2023-01-10T12:42:03.679000,buy,1,1.0,EURUSD,1.07306,1.07226,1.07226,1.07466,0,0,-80,,,sl
590123298,2023-01-10T08:01:47.133000,2023-01-10T12:01:18.126000,sell,0.43,0.43,USDCHF,0.92067,0.92237,0.92237,0.91811,0,0,-79.25,,,sl
588979347,2023-01-09T09:28:44.702000,2023-01-09T14:21:29.235000,sell,0.49,0.49,USDCAD,1.33847,1.34067,1.34067,1.33371,0,0,-80.41,,,sl
586485139,2023-01-06T03:12:49.224000,2023-01-06T03:52:21.075000,sell,1.14,1.14,EURCAD,1.42628,1.42723,1.42723,1.4242,0,0,-79.95,,,sl
586376294,2023-01-06T01:00:31.116000,2023-01-06T02:28:33.735000,buy,0.47,0.47,USDJPY,133.547,133.626,133.555,133.919,0,0,27.79,,,user
583817684,2023-01-04T14:40:16.029000,2023-01-04T14:59:35.041000,buy,0.31,0.31,GBPJPY,157.81,158.127,157.47,,0,0,75.01,,,user
581647672,2023-01-03T14:19:21.355000,2023-01-03T14:35:32.485000,sell,0.47,0.47,GBPJPY,156.63,156.88,156.88,155.945,0,0,-90.1,,,sl
573433089,2022-12-29T12:15:43.105000,2022-12-29T12:53:36.867000,buy,1.5,1.5,EURCAD,1.44584,1.44673,1.44504,1.44749,0,0,98.24,,,user
566016491,2022-12-23T08:05:15.723000,2022-12-23T17:12:02.092000,buy,0.49,0.49,AUDJPY,88.812,89.167,88.617,89.167,0,0,131,,,tp
562443530,2022-12-21T07:46:06.695000,2022-12-21T10:36:49.148000,sell,0.33,0.33,CADJPY,96.818,96.796,97.118,96.085,0,0,5.51,,,user
556227145,2022-12-16T14:44:14.842000,2022-12-16T14:45:04.340000,buy,0.41,0.41,USDJPY,137.29,136.803,137.04,137.683,0,0,-145.95,,,sl
549047567,2022-12-13T05:57:05.044000,2022-12-13T13:30:05.487000,sell,0.35,0.35,USDJPY,137.584,136.187,137.884,136.984,0,0,359.03,,,tp
546292070,2022-12-09T07:57:37.674000,2022-12-09T11:00:55.662000,sell,0.47,0.47,EURUSD,1.05692,1.05639,1.05686,1.05367,0,0,24.91,,,user
545145299,2022-12-08T10:51:22.394000,2022-12-08T11:56:07.588000,sell,0.38,0.38,GBPUSD,1.21559,1.21759,1.21759,,0,0,-76,,,sl
544125400,2022-12-07T14:35:03.629000,2022-12-07T15:10:30.392000,buy,0.35,0.35,GBPUSD,1.22096,1.21886,1.21886,1.22467,0,0,-73.5,,,sl
543714705,2022-12-07T09:20:01.347000,2022-12-07T11:06:21.506000,buy,0.7,0.7,EURJPY,144.078,144.22,144.075,,0,0,72.36,,,user
542301175,2022-12-06T07:35:47.499000,2022-12-06T08:00:20.308000,buy,0.64,0.64,AUDJPY,92.265,92.105,92.105,92.604,0,0,-74.78,,,sl
538484438,2022-12-02T07:07:57.394000,2022-12-02T08:33:46.958000,sell,0.3,0.3,USDJPY,134.98,134.32,134.973,134.32,0,0,147.41,,,tp
534659954,2022-11-29T12:27:00.403000,2022-11-30T01:43:14.063000,buy,0.32,0.32,EURJPY,143.312,143.353,143.012,143.972,0,0,9.47,,,user
526127253,2022-11-24T09:20:41.527000,2022-11-24T10:30:32.014000,buy,0.23,0.23,XAUUSD,1758.138,1755.138,1755.138,1764.138,0,0,-69,,,sl
525849732,2022-11-24T02:49:55.830000,2022-11-24T05:15:01.467000,sell,1.34,1.34,USDCAD,1.33359,1.33429,1.33429,1.33139,0,0,-70.3,,,sl
